at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 1, 0, 0, 0
0.102165, 1, 0, 0, 0
0.203852, 1, 0, 0, 0
0.305524, 1, 0, 0, 0
0.408511, 1, 0, 0, 0
0.509376, 1, 0, 0, 0
0.609943, 1, 0, 0, 0
0.710692, 1, 0, 0, 0
0.811392, 0.850746, 0.149254, 0, 0
0.912924, 0.720238, 0.279762, 0, 0
1.01603, 0.64, 0.36, 0, 0
1.12104, 0.7, 0.3, 0, 0
1.22331, 0.613293, 0.386707, 0, 0
1.32703, 0.610619, 0.389381, 0, 0
1.42898, 0.541885, 0.458115, 0, 0
1.53106, 0.482517, 0.517483, 0, 0
1.63321, 0.464126, 0.535874, 0, 0
1.73674, 0.452174, 0.547826, 0, 0
1.83982, 0.452174, 0.547826, 0, 0
1.94339, 0.452174, 0.547826, 0, 0
2.05922, 0.452174, 0.547826, 0, 0
2.793, 0.437895, 0.562105, 0, 0
2.89604, 0.438, 0.562, 0, 0
3.00279, 0.434, 0.566, 0, 0
3.68377, 0.434, 0.566, 0, 0
3.79659, 0.392, 0.608, 0, 0
7.05661, 0.388, 0.612, 0, 0
7.15691, 0.37, 0.63, 0, 0
7.29986, 0.366, 0.634, 0, 0
7.40584, 0.366, 0.634, 0, 0
7.51435, 0.386, 0.614, 0, 0
7.61935, 0.386, 0.614, 0, 0
7.72272, 0.364, 0.636, 0, 0
7.82628, 0.362, 0.638, 0, 0
7.93524, 0.362, 0.638, 0, 0
8.04066, 0.324, 0.676, 0, 0
8.14267, 0.3, 0.7, 0, 0
8.26451, 0.3, 0.7, 0, 0
8.3736, 0.3, 0.7, 0, 0
8.47659, 0.296, 0.704, 0, 0
8.58202, 0.294, 0.706, 0, 0
8.70304, 0.294, 0.706, 0, 0
8.80713, 0.294, 0.706, 0, 0
8.92496, 0.288, 0.712, 0, 0
9.07475, 0.268, 0.732, 0, 0
9.17776, 0.222, 0.778, 0, 0
9.28172, 0.228, 0.772, 0, 0
9.38578, 0.22, 0.78, 0, 0
9.48868, 0.218, 0.782, 0, 0
9.59168, 0.216, 0.784, 0, 0
9.69469, 0.21, 0.79, 0, 0
9.79744, 0.204, 0.796, 0, 0
9.9004, 0.18, 0.82, 0, 0
10.005, 0.174, 0.826, 0, 0
10.1082, 0.194, 0.806, 0, 0
10.2121, 0.204, 0.796, 0, 0
10.2229, 0.204, 0.796, 0, 0
10.3244, 0.206, 0.794, 0, 0
10.4268, 0.204, 0.796, 0, 0
10.53, 0.2, 0.8, 0, 0
10.633, 0.196, 0.804, 0, 0
10.7359, 0.19, 0.81, 0, 0
10.8384, 0.182, 0.818, 0, 0
10.9417, 0.172, 0.828, 0, 0
11.0445, 0.172, 0.828, 0, 0
11.1478, 0.162, 0.838, 0, 0
11.2518, 0.168, 0.832, 0, 0
11.3559, 0.188, 0.812, 0, 0
11.4595, 0.188, 0.812, 0, 0
11.5624, 0.198, 0.802, 0, 0
11.6651, 0.192, 0.808, 0, 0
11.7681, 0.194, 0.806, 0, 0
11.8691, 0.19, 0.81, 0, 0
11.9712, 0.18, 0.82, 0, 0
12.0726, 0.18, 0.82, 0, 0
12.1749, 0.176, 0.824, 0, 0
12.2782, 0.176, 0.824, 0, 0
12.3811, 0.134, 0.866, 0, 0
12.484, 0.124, 0.876, 0, 0
12.5869, 0.124, 0.876, 0, 0
12.6911, 0.126, 0.874, 0, 0
12.7939, 0.13, 0.87, 0, 0
12.8957, 0.134, 0.866, 0, 0
12.9987, 0.134, 0.866, 0, 0
13.1023, 0.134, 0.866, 0, 0
13.2054, 0.142, 0.858, 0, 0
13.3086, 0.158, 0.842, 0, 0
13.4119, 0.15, 0.85, 0, 0
13.5152, 0.15, 0.85, 0, 0
13.6186, 0.154, 0.846, 0, 0
13.7216, 0.156, 0.844, 0, 0
13.8256, 0.158, 0.842, 0, 0
13.9285, 0.156, 0.844, 0, 0
14.0302, 0.132, 0.868, 0, 0
14.1316, 0.126, 0.874, 0, 0
14.2333, 0.126, 0.874, 0, 0
14.3345, 0.122, 0.878, 0, 0
14.4357, 0.118, 0.882, 0, 0
14.5368, 0.116, 0.884, 0, 0
14.592, 0.118, 0.882, 0, 0
14.6944, 0.136, 0.864, 0, 0
14.7971, 0.132, 0.868, 0, 0
14.8995, 0.12, 0.88, 0, 0
15.0019, 0.128, 0.872, 0, 0
15.1043, 0.128, 0.872, 0, 0
15.2067, 0.124, 0.876, 0, 0
15.3084, 0.112, 0.888, 0, 0
15.4111, 0.11, 0.89, 0, 0
15.5145, 0.106, 0.894, 0, 0
15.6165, 0.11, 0.89, 0, 0
15.7193, 0.11, 0.89, 0, 0
15.8213, 0.106, 0.894, 0, 0
15.9231, 0.104, 0.896, 0, 0
16.0251, 0.116, 0.884, 0, 0
16.1272, 0.11, 0.89, 0, 0
16.2286, 0.102, 0.898, 0, 0
16.3314, 0.1, 0.9, 0, 0
16.436, 0.108, 0.892, 0, 0
16.5384, 0.122, 0.878, 0, 0
16.6402, 0.118, 0.882, 0, 0
16.742, 0.11, 0.89, 0, 0
16.8444, 0.11, 0.89, 0, 0
16.9477, 0.116, 0.884, 0, 0
17.051, 0.116, 0.884, 0, 0
17.154, 0.122, 0.878, 0, 0
17.2591, 0.12, 0.88, 0, 0
17.3633, 0.124, 0.876, 0, 0
17.4669, 0.128, 0.872, 0, 0
17.5706, 0.118, 0.882, 0, 0
17.6741, 0.12, 0.88, 0, 0
17.7778, 0.12, 0.88, 0, 0
17.8815, 0.122, 0.878, 0, 0
17.9866, 0.124, 0.876, 0, 0
18.0898, 0.124, 0.876, 0, 0
18.1933, 0.124, 0.876, 0, 0
18.2986, 0.124, 0.876, 0, 0
18.4017, 0.124, 0.876, 0, 0
18.5039, 0.124, 0.876, 0, 0
18.6065, 0.124, 0.876, 0, 0
18.7087, 0.124, 0.876, 0, 0
18.811, 0.124, 0.876, 0, 0
18.9133, 0.124, 0.876, 0, 0
19.0135, 0.124, 0.876, 0, 0
19.1166, 0.12, 0.88, 0, 0
19.2188, 0.118, 0.882, 0, 0
19.3228, 0.14, 0.86, 0, 0
19.4263, 0.134, 0.866, 0, 0
19.5297, 0.128, 0.872, 0, 0
19.6334, 0.124, 0.876, 0, 0
19.7371, 0.122, 0.878, 0, 0
19.8413, 0.116, 0.884, 0, 0
19.9457, 0.12, 0.88, 0, 0
20.0496, 0.12, 0.88, 0, 0
20.1526, 0.12, 0.88, 0, 0
20.2555, 0.122, 0.878, 0, 0
20.3576, 0.122, 0.878, 0, 0
20.4599, 0.13, 0.87, 0, 0
20.5617, 0.136, 0.864, 0, 0
20.6644, 0.13, 0.87, 0, 0
20.7673, 0.134, 0.866, 0, 0
20.8691, 0.136, 0.864, 0, 0
20.9713, 0.136, 0.864, 0, 0
21.0734, 0.14, 0.86, 0, 0
21.1754, 0.14, 0.86, 0, 0
21.2775, 0.14, 0.86, 0, 0
21.3795, 0.14, 0.86, 0, 0
21.4814, 0.14, 0.86, 0, 0
21.5846, 0.156, 0.844, 0, 0
21.6911, 0.156, 0.844, 0, 0
21.7953, 0.156, 0.844, 0, 0
21.8994, 0.142, 0.858, 0, 0
22.0035, 0.124, 0.876, 0, 0
22.1075, 0.082, 0.918, 0, 0
22.2115, 0.092, 0.908, 0, 0
22.3153, 0.1, 0.9, 0, 0
22.418, 0.096, 0.904, 0, 0
22.5206, 0.096, 0.904, 0, 0
22.6243, 0.104, 0.896, 0, 0
22.7263, 0.106, 0.894, 0, 0
22.8284, 0.106, 0.894, 0, 0
22.9307, 0.106, 0.894, 0, 0
23.033, 0.108, 0.892, 0, 0
23.1352, 0.108, 0.892, 0, 0
23.2396, 0.106, 0.894, 0, 0
23.3415, 0.106, 0.894, 0, 0
23.4451, 0.106, 0.894, 0, 0
23.4874, 0.104, 0.896, 0, 0
23.5898, 0.104, 0.896, 0, 0
23.6924, 0.1, 0.9, 0, 0
23.7948, 0.098, 0.902, 0, 0
23.8994, 0.094, 0.906, 0, 0
24.0039, 0.114, 0.886, 0, 0
24.1079, 0.118, 0.882, 0, 0
24.214, 0.116, 0.884, 0, 0
24.3177, 0.108, 0.892, 0, 0
24.4219, 0.1, 0.9, 0, 0
24.5257, 0.104, 0.896, 0, 0
24.6316, 0.1, 0.9, 0, 0
24.7359, 0.096, 0.904, 0, 0
24.8399, 0.092, 0.908, 0, 0
24.9445, 0.094, 0.906, 0, 0
25.0491, 0.098, 0.902, 0, 0
25.1538, 0.096, 0.904, 0, 0
25.2582, 0.096, 0.904, 0, 0
25.3626, 0.096, 0.904, 0, 0
25.4711, 0.098, 0.902, 0, 0
25.5757, 0.088, 0.912, 0, 0
25.68, 0.086, 0.914, 0, 0
25.7846, 0.082, 0.918, 0, 0
25.8892, 0.078, 0.922, 0, 0
25.9936, 0.076, 0.924, 0, 0
26.0977, 0.082, 0.918, 0, 0
26.2076, 0.082, 0.918, 0, 0
26.3112, 0.082, 0.918, 0, 0
26.4141, 0.084, 0.916, 0, 0
26.5198, 0.084, 0.916, 0, 0
26.6243, 0.084, 0.916, 0, 0
26.7273, 0.086, 0.914, 0, 0
26.8296, 0.086, 0.914, 0, 0
26.9345, 0.086, 0.914, 0, 0
27.0392, 0.084, 0.916, 0, 0
27.144, 0.086, 0.914, 0, 0
27.2503, 0.084, 0.916, 0, 0
27.3572, 0.084, 0.916, 0, 0
27.4622, 0.088, 0.912, 0, 0
27.567, 0.086, 0.914, 0, 0
27.6716, 0.084, 0.916, 0, 0
27.777, 0.086, 0.914, 0, 0
27.801, 0.086, 0.914, 0, 0
27.9069, 0.08, 0.92, 0, 0
28.01, 0.078, 0.922, 0, 0
28.113, 0.074, 0.926, 0, 0
28.2161, 0.08, 0.92, 0, 0
28.3191, 0.076, 0.924, 0, 0
28.424, 0.072, 0.928, 0, 0
28.5302, 0.082, 0.918, 0, 0
28.6403, 0.074, 0.926, 0, 0
28.745, 0.084, 0.916, 0, 0
28.8506, 0.082, 0.918, 0, 0
28.9581, 0.086, 0.914, 0, 0
29.0629, 0.084, 0.916, 0, 0
29.1679, 0.084, 0.916, 0, 0
29.2736, 0.082, 0.918, 0, 0
29.3787, 0.092, 0.908, 0, 0
29.4839, 0.108, 0.892, 0, 0
29.5895, 0.112, 0.888, 0, 0
29.6969, 0.12, 0.88, 0, 0
29.8011, 0.126, 0.874, 0, 0
29.9047, 0.124, 0.876, 0, 0
30.0085, 0.112, 0.888, 0, 0
30.1125, 0.112, 0.888, 0, 0
30.2161, 0.096, 0.904, 0, 0
30.3198, 0.092, 0.908, 0, 0
30.4234, 0.09, 0.91, 0, 0
30.5269, 0.084, 0.916, 0, 0
30.6301, 0.082, 0.918, 0, 0
30.7356, 0.084, 0.916, 0, 0
30.8386, 0.084, 0.916, 0, 0
30.9419, 0.082, 0.918, 0, 0
31.0448, 0.078, 0.922, 0, 0
31.1506, 0.068, 0.932, 0, 0
31.2548, 0.06, 0.94, 0, 0
31.3604, 0.06, 0.94, 0, 0
31.4663, 0.064, 0.936, 0, 0
31.5719, 0.064, 0.936, 0, 0
31.6773, 0.064, 0.936, 0, 0
31.7844, 0.064, 0.936, 0, 0
31.8898, 0.086, 0.914, 0, 0
31.8993, 0.088, 0.912, 0, 0
32.0047, 0.096, 0.904, 0, 0
32.1123, 0.112, 0.888, 0, 0
32.2184, 0.118, 0.882, 0, 0
32.325, 0.118, 0.882, 0, 0
32.4312, 0.116, 0.884, 0, 0
32.5372, 0.114, 0.886, 0, 0
32.643, 0.108, 0.892, 0, 0
32.7491, 0.112, 0.888, 0, 0
32.8578, 0.112, 0.888, 0, 0
32.9641, 0.122, 0.878, 0, 0
33.0671, 0.12, 0.88, 0, 0
33.1698, 0.12, 0.88, 0, 0
33.2747, 0.128, 0.872, 0, 0
33.381, 0.132, 0.868, 0, 0
33.4855, 0.132, 0.868, 0, 0
33.5895, 0.126, 0.874, 0, 0
33.6939, 0.134, 0.866, 0, 0
33.7976, 0.134, 0.866, 0, 0
33.9015, 0.124, 0.876, 0, 0
34.0055, 0.122, 0.878, 0, 0
34.1113, 0.12, 0.88, 0, 0
34.2146, 0.116, 0.884, 0, 0
34.3185, 0.114, 0.886, 0, 0
34.4223, 0.112, 0.888, 0, 0
34.5255, 0.112, 0.888, 0, 0
34.6281, 0.11, 0.89, 0, 0
34.7307, 0.11, 0.89, 0, 0
34.8336, 0.1, 0.9, 0, 0
34.9367, 0.1, 0.9, 0, 0
35.0401, 0.098, 0.902, 0, 0
35.1448, 0.104, 0.896, 0, 0
35.2511, 0.122, 0.878, 0, 0
35.3619, 0.124, 0.876, 0, 0
35.4682, 0.126, 0.874, 0, 0
35.5743, 0.13, 0.87, 0, 0
35.6808, 0.138, 0.862, 0, 0
35.785, 0.144, 0.856, 0, 0
35.8913, 0.152, 0.848, 0, 0
35.9974, 0.15, 0.85, 0, 0
36.1088, 0.152, 0.848, 0, 0
36.2142, 0.154, 0.846, 0, 0
36.3191, 0.152, 0.848, 0, 0
36.4233, 0.148, 0.852, 0, 0
36.53, 0.16, 0.84, 0, 0
36.6375, 0.158, 0.842, 0, 0
36.7457, 0.156, 0.844, 0, 0
36.854, 0.154, 0.846, 0, 0
